"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area_FtSq","Length_Ft","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Perry Hill",2023,"Weed Occurrence",977,NA,"scattered privet","On-site Source","Low","Chinese Privet","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{bd8c8fc9-d835-47d9-a606-350c96a05745}",4590812-11-18 19:00:00,"ncurtis1",4590812-11-18 19:00:00,"ncurtis1"
"2","Perry Hill",2023,"Weed Occurrence",978,NA,"needs willows cut stumped out of stream",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{ae35d924-db20-4597-a612-59688aa1fad7}",4590816-04-21 20:00:00,"ncurtis1",4590816-04-21 20:00:00,"ncurtis1"
"3","Perry Hill",2022,"Failed Structure",418,"Failed/Not Functional","head cut at/ below sill, erosion area",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{55b2dd5e-0912-4116-b3e2-e84c1bdc2e03}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"4","Perry Hill",2022,"Failed Structure",419,"Failed/Not Functional","head cut at/ below sill, erosion area",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{7190a2b2-1eaa-47ff-92f6-04bd5af65bf4}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"5","Perry Hill",2022,"In-Stream Vegetation",837,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,497.630869120577,3,2022-08-30,"Backpack spray Murdannia","In house",NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:56,"lcostes",2023-01-05 17:32:56,"lcostes","51-75%",NA,"Neil","{1f98d65c-d218-42bf-93c7-90ba50427208}",2023-01-05 17:32:21,"lcostes",2023-01-05 17:32:21,"lcostes"
"6","Perry Hill",2022,"In-Stream Vegetation",906,NA,"Murdannia",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,1250.63987491973,3,2022-08-30,"Backpack spray Murdannia","In house",NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:56,"lcostes",2023-01-05 17:32:56,"lcostes",NA,NA,"Neil","{27d3f140-27c8-49fd-b6e4-825d1df38763}",2023-01-05 17:32:21,"lcostes",2023-01-05 17:32:21,"lcostes"
"7","Perry Hill",2022,"In-Stream Vegetation",904,NA,"Murdannia",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,1314.42357053234,3,2022-08-10,"Backpack spray Murdannia","In house",NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:56,"lcostes",2023-01-05 17:32:56,"lcostes",NA,NA,"Neil","{6d778785-85d6-4193-bca4-9cfcf330a58f}",2023-01-05 17:32:21,"lcostes",2023-01-05 17:32:21,"lcostes"
"8","Perry Hill",2022,"In-Stream Vegetation",905,NA,"Murdannia",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,302.381158505548,3,2022-08-10,"Backpack spray Murdannia","In house",NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:56,"lcostes",2023-01-05 17:32:56,"lcostes",NA,NA,"Neil","{7b61ccb7-0dda-4939-b604-dcd85e383e9b}",2023-01-05 17:32:21,"lcostes",2023-01-05 17:32:21,"lcostes"
"9","Perry Hill",2022,"In-Stream Vegetation",903,NA,"Murdannia",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,649.931257511822,3,2022-08-10,"Backpack spray Murdannia","In house",NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:56,"lcostes",2023-01-05 17:32:56,"lcostes",NA,NA,"Neil","{c847060d-fad0-48ee-a92c-66568edf78ce}",2023-01-05 17:32:21,"lcostes",2023-01-05 17:32:21,"lcostes"
"10","Perry Hill",2022,"In-Stream Vegetation",838,NA,"Murdannia",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,1090.67370540174,3,2022-08-10,"Backpack spray Murdannia","In house",NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:56,"lcostes",2023-01-05 17:32:56,"lcostes","26-50%",NA,"Neil","{fe664b4e-3614-4b00-9668-b79e65e1e96e}",2023-01-05 17:32:21,"lcostes",2023-01-05 17:32:21,"lcostes"
"11","Perry Hill",2022,"Weed Occurrence",844,NA,"OTHER is Lamb's quarter",NA,"Medium","Tree Of Heaven","<1%","Johnson Grass","6-25%","OTHER","26-50%",NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,9330.19421386719,464.330423532715,1,2022-08-30,"Cut stump TOH","In house",NA,"Cut Stump","Triclopyr",NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Neil","{5a822ab8-278b-4c14-a8aa-a7b2860cd4b9}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"12","Perry Hill",2022,"Weed Occurrence",558,NA,"Foliar spray blackberry in spring","On-site Source","Low","Blackberry","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,53948.5354003906,1178.83279935917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{5204bac3-a8e0-47db-b3e2-087170c4bc76}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
