"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Pine Hill Branch",2023,"5",1175,"Damaged/Missing Sign","Sign needs a fresh t-post clamp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{d072de6c-45da-4cb9-8b6d-b088427a4aba}",4610491-10-17 20:00:00,"lcostes",4610491-10-17 20:00:00,"lcostes"
"2","Pine Hill Branch",2023,"Channel Stability/Erosion",1059,NA,"Erosion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrew","{fa4ce2d6-b840-488a-80d9-10c0043ccd8f}",4613999-05-20 20:00:00,"clanza",4613999-05-20 20:00:00,"clanza"
"3","Pine Hill Branch",2023,"Failed Structure",1221,"Piping",NA,"Grade Control Structure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{e3494b15-b9fb-4d5a-af5a-8b7ce97c1cde}",4613999-01-05 19:00:00,"clanza",4613999-01-05 19:00:00,"clanza"
"4","Pine Hill Branch",2023,"Failed Structure",1222,"Piping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{024ac830-239a-4c5f-a018-b518889e2864}",4613999-01-30 19:00:00,"clanza",4613999-01-30 19:00:00,"clanza"
"5","Pine Hill Branch",2023,"Failed Structure",1223,"Piping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{fc252bd0-d645-4537-a880-1083b32d8adc}",4613999-02-22 19:00:00,"clanza",4613999-02-22 19:00:00,"clanza"
"6","Pine Hill Branch",2023,"Failed Structure",1224,"Piping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{5e11a4bf-7a61-4d84-aa7f-f9182d7a4047}",4613999-10-06 20:00:00,"clanza",4613999-10-06 20:00:00,"clanza"
"7","Pine Hill Branch",2023,"Vegetation Issue",1043,"Low Stem Density",NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrew","{d06d2890-4050-44f1-9008-20db1bb3441b}",4584904-04-30 20:00:00,"aradecki1",4588240-10-17 20:00:00,"aradecki1"
"8","Pine Hill Branch",2023,"Weed Occurrence",1121,NA,NA,NA,NA,"Japanese Honeysuckle","26-50%","Chinese Privet","1-5%","Multiflora Rose","<1%",NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrew","{781d0644-126b-4ed6-99f7-f9c26aa3a38a}",4610490-04-15 20:00:00,"lcostes",4610492-11-13 19:00:00,"lcostes"
"9","Pine Hill Branch",2023,"Weed Occurrence",1122,NA,NA,NA,NA,"Chinese Privet","1-5%","Japanese Honeysuckle","26-50%","Multiflora Rose","1-5%",NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrew","{448bae9f-92bc-45fc-aba1-64dd0a4d71bd}",4610496-12-21 19:00:00,"lcostes",4610498-01-08 19:00:00,"lcostes"
"10","Pine Hill Branch",2023,"Weed Occurrence",1177,NA,"Paulownia ~5” DBH. Unhealthy but leafing out",NA,NA,"Princess Tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,1,2023-08-16 10:18:43,"Cut stump ","In house",1,"Cut Stump","Triclopyr",NA,NA,NA,"Yes",2023-08-16 10:19:28,"76-100%",2023-08-16 10:20:33,"aradecki1",2023-08-16 10:20:33,"aradecki1","Point",NA,NA,"Andrew","{f4577b4c-4449-4deb-b40c-f608a0705fde}",2023-05-04 15:54:12,"lcostes",2023-05-04 15:54:55,"lcostes"
"11","Pine Hill Branch",2023,"Weed Occurrence",1170,NA,"1 TOH seedling; where there’s one there may be more?",NA,NA,"Tree Of Heaven",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{803f8dd7-6c13-45c5-8174-6a8693652d05}",4610479-05-19 20:00:00,"lcostes",4610479-05-19 20:00:00,"lcostes"
"12","Pine Hill Branch",2023,"Weed Occurrence",1171,NA,"Handful of TOH seedlings",NA,NA,"Tree Of Heaven",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{0ed3840a-001e-4c03-afbf-583cdfdf4f34}",4610482-11-07 19:00:00,"lcostes",4610482-11-07 19:00:00,"lcostes"
"13","Pine Hill Branch",2023,"Weed Occurrence",1172,NA,"TOH resprout",NA,NA,"Tree Of Heaven",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{f0181b57-b576-4c64-af01-147875a3acd7}",4610486-02-08 19:00:00,"lcostes",4610486-02-08 19:00:00,"lcostes"
"14","Pine Hill Branch",2023,"Weed Occurrence",1173,NA,"1 TOH right on the bank. Would be good to get before the veg gets thick",NA,NA,"Tree Of Heaven",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{475a89ff-e21b-4a6c-8394-a1b563e0e5f5}",4610486-08-25 20:00:00,"lcostes",4610486-08-25 20:00:00,"lcostes"
"15","Pine Hill Branch",2023,"Weed Occurrence",1174,NA,"Mature privet",NA,NA,"Chinese Privet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{9d1fa52c-baa9-41ca-8804-d418b9efe773}",4610490-06-01 20:00:00,"lcostes",4610490-06-01 20:00:00,"lcostes"
"16","Pine Hill Branch",2023,"Weed Occurrence",1176,NA,"~50 TOH seedlings outside easement, but keep an eye for spread",NA,NA,"Tree Of Heaven",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{9092d434-4ebc-46a2-a5fc-7aed50d27247}",4610494-12-26 19:00:00,"lcostes",4610495-01-31 19:00:00,"lcostes"
"17","Pine Hill Branch",2023,"Weed Occurrence",1178,NA,"Mature privet",NA,NA,"Chinese Privet",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{9aca4cd4-f4fe-417c-ade1-315e16f53e5b}",4610498-12-17 19:00:00,"lcostes",4610498-12-17 19:00:00,"lcostes"
