"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Plantation Branch",2023,"Beaver Dam",1836,NA,"Water is flowing under dam ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{be561d16-6e85-48b7-9576-12a21d786929}",4661553-12-03 19:00:00,"ddixon0",4661553-12-03 19:00:00,"ddixon0"
"2","Plantation Branch",2023,"CE Encroachment",1049,"Mowing",NA,"Post","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{d0467182-e31b-458b-a4a5-f5b4adbbeafd}",4590123-07-19 20:00:00,"ddixon0",4590123-07-19 20:00:00,"ddixon0"
"3","Plantation Branch",2023,"CE Encroachment",1176,"Mowing","planted in easement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{aeac7e08-3ce9-4715-8c37-28a64e1234bb}",4621584-08-20 20:00:00,"ddixon0",4648073-06-11 20:00:00,"sthompson_"
"4","Plantation Branch",2023,"CE Encroachment",1337,"Motor Vehicle Use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{2fc9e7ed-9406-4793-a92f-77c91c94a79d}",4648071-12-27 19:00:00,"sthompson_",4648072-08-20 20:00:00,"sthompson_"
"5","Plantation Branch",2023,"CE Encroachment",1338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{607ac708-aa40-4433-a548-e4b29078cf52}",4648072-11-25 19:00:00,"sthompson_",4648072-11-25 19:00:00,"sthompson_"
"6","Plantation Branch",2023,"CE Encroachment",1339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{4b62cfb7-6efa-4cff-81bb-60f6a1699d79}",4648075-07-01 20:00:00,"sthompson_",4648075-07-01 20:00:00,"sthompson_"
"7","Plantation Branch",2023,"CE Encroachment",1340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{c4ea3611-5427-4a66-8538-8460a9d7e836}",4648077-01-24 19:00:00,"sthompson_",4648077-01-24 19:00:00,"sthompson_"
"8","Plantation Branch",2023,"CE Encroachment",1341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{1a590d04-838b-4a0b-91a3-19a10d7dbd0d}",4648077-08-03 20:00:00,"sthompson_",4648077-08-03 20:00:00,"sthompson_"
"9","Plantation Branch",2023,"CE Encroachment",1342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{7bb8912b-49b6-4d10-b8c4-e47c34e9105e}",4648078-03-28 20:00:00,"sthompson_",4648078-03-28 20:00:00,"sthompson_"
"10","Plantation Branch",2023,"CE Encroachment",1343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{542d24d0-6242-4add-a561-9cc742f2bb52}",4648078-07-24 20:00:00,"sthompson_",4648078-08-09 20:00:00,"sthompson_"
