"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Riverbend",2023,"Misc",1737,NA,"Native swamp rose in wetland area with the invasive rose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{9b180611-d695-401f-b18d-ce850a3c856f}",4646893-07-06 20:00:00,"eisrael1",4646893-07-06 20:00:00,"eisrael1"
"2","Riverbend",2023,"Soil Sample",1096,NA,"RB001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{5aab8f88-9fcf-4b55-8d11-b449e5b26b2e}",4602190-06-11 20:00:00,"awissner",4602190-06-11 20:00:00,"awissner"
"3","Riverbend",2023,"Soil Sample",1097,NA,"RB002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{83d38b8f-670e-407f-bcb4-41d3c11e860d}",4602193-04-06 20:00:00,"awissner",4602193-04-06 20:00:00,"awissner"
"4","Riverbend",2023,"Soil Sample",1098,NA,"RB003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{5428acad-1f65-45a7-b3c9-9f4560fbab01}",4602197-05-31 20:00:00,"awissner",4602197-05-31 20:00:00,"awissner"
"5","Riverbend",2023,"Soil Sample",1099,NA,"RB004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{66f86f54-71f6-4da2-9b0c-86b9fba46f20}",4602202-06-16 20:00:00,"awissner",4602202-06-16 20:00:00,"awissner"
"6","Riverbend",2023,"Soil Sample",1100,NA,"RB005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{3256d90c-9ad0-46c1-bffd-17afebf202c0}",4602204-07-05 20:00:00,"awissner",4602204-07-05 20:00:00,"awissner"
"7","Riverbend",2023,"Soil Sample",1101,NA,"RB006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{689f47d7-4a99-4e74-a852-76164457e4b2}",4602206-06-08 20:00:00,"awissner",4602206-06-08 20:00:00,"awissner"
"8","Riverbend",2023,"Soil Sample",1102,NA,"RB007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{7b849e7c-5dfb-4dc6-a688-2d1049a3acd5}",4602208-11-07 19:00:00,"awissner",4602208-11-07 19:00:00,"awissner"
"9","Riverbend",2023,"Weed Occurrence",1375,NA,"Groundcover HS, privet, MF",NA,"Low","Chinese Privet","6-25%","Japanese Honeysuckle","6-25%","Multiflora Rose","1-5%",NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Emily","{b69ba042-c3e7-4f43-8771-b9d61a030bf0}",4646880-12-17 19:00:00,"eisrael1",4646893-02-04 19:00:00,"eisrael1"
"10","Riverbend",2023,"Weed Occurrence",1376,NA,NA,NA,NA,"Chinese Privet","26-50%","Japanese Honeysuckle","1-5%","Bush Honeysuckle","1-5%","Multiflora Rose","1-5%",NA,NA,"Yes",NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Emily","{907bfce4-9d10-4b7e-953d-94530428bd0a}",4646882-10-14 20:00:00,"eisrael1",4646890-01-25 19:00:00,"eisrael1"
"11","Riverbend",2023,"Weed Occurrence",1736,NA,"Mature trifoliate orange",NA,"Medium","Trifoliate Orange","1-5%","Chinese Privet",NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{8b819f02-cc5b-4a03-b053-6cf31db07b07}",4646890-09-20 20:00:00,"eisrael1",4646890-09-20 20:00:00,"eisrael1"
