"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Rosewood",2023,"CE Encroachment",1062,"Other","Neighbors using CE as backyard/driveway",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Hanna","{c8471dc1-16fc-4efc-9e16-0de7b8dab4a7}",4595562-04-16 20:00:00,"hpeterman",4662056-12-22 19:00:00,"hpeterman"
"2","Rosewood",2023,"Channel Stability/Erosion",970,"Erosion_Scour","Bank eroding, needs a couple live stakes","Stream Bank","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Hanna","{9bf7c8cd-0ae1-400e-9c0d-0af3a71b63cd}",4593899-01-31 19:00:00,"hpeterman",4593899-01-31 19:00:00,"hpeterman"
"3","Rosewood",2023,"Channel Stability/Erosion",971,"Erosion_Scour","Eroding bank, needs 5 live stakes","Stream Bank","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Hanna","{c7447f1b-d76c-4d44-9352-cd991269465d}",4593899-12-11 19:00:00,"hpeterman",4593899-12-11 19:00:00,"hpeterman"
"4","Rosewood",2023,"In-Stream Vegetation",969,NA,"Cattail in ditch ",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line","51-75%",NA,"Hanna","{9144047b-ece6-47d2-8f7f-db5d3cbd703c}",4593892-08-06 20:00:00,"hpeterman",4593892-10-02 20:00:00,"hpeterman"
"5","Rosewood",2023,"In-Stream Vegetation",1138,NA,"Elephant ears in ditch",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line","76-100%",NA,"Hanna","{b72e6204-b0b2-4d07-970e-f8e6dafcec87}",4644517-08-16 20:00:00,"hpeterman",4644517-08-16 20:00:00,"hpeterman"
"6","Rosewood",2023,"In-Stream Vegetation",1139,NA,"Elephant ears in ditch",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line","76-100%",NA,"Hanna","{5f5c9048-7f1c-404f-b9dd-02ce6d582258}",4644517-09-13 20:00:00,"hpeterman",4644517-09-13 20:00:00,"hpeterman"
"7","Rosewood",2023,"Misc",972,NA,"Grading both sides of bank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Hanna","{49cf5e6b-cb1f-4cc5-aefa-917baa7c8015}",4593910-09-29 20:00:00,"hpeterman",4593910-10-25 20:00:00,"hpeterman"
"8","Rosewood",2023,"Misc",973,NA,"Grading both sides of bank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Hanna","{19819c45-f7de-458b-95f7-a64a69cd8ee2}",4593911-09-21 20:00:00,"hpeterman",4593911-09-21 20:00:00,"hpeterman"
"9","Rosewood",2023,"Misc",974,NA,"Grading both sides of bank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Hanna","{2639c8da-61b9-4395-b341-9703d0e11080}",4593912-07-10 20:00:00,"hpeterman",4593912-07-10 20:00:00,"hpeterman"
"10","Rosewood",2023,"Misc",1013,NA,"Trash/old plastic culvert among trees","Floodplain","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{312d3e75-aaed-460d-8b66-a33c2624f7cb}",4595591-07-22 20:00:00,"hpeterman",4595591-08-01 20:00:00,"hpeterman"
"11","Rosewood",2023,"Misc",1014,NA,"Rock pile",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{47ffcd72-3244-4c7d-aad9-5d3c1a1ecd40}",4595808-10-10 20:00:00,"hpeterman",4595808-10-10 20:00:00,"hpeterman"
