"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Running Dog",2023,"CE Encroachment",1161,"Mowing","Crops in easement ",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{33e6c327-7bdd-4d37-8003-37ddb0f1daf7}",4618250-09-05 20:00:00,"ddixon0",4618250-09-05 20:00:00,"ddixon0"
"2","Running Dog",2023,"Failed Structure",1009,NA,"Minor point bar work ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{bf989755-7500-4808-99c9-48e2abe1e4ea}",4595302-12-16 19:00:00,"skirk1",4619916-11-10 19:00:00,"lcostes"
"3","Running Dog",2023,"Misc",982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Dominic","{0177cc83-626c-4237-b5b9-40c82b7fbc45}",4595302-02-06 19:00:00,"skirk1",4595302-02-06 19:00:00,"skirk1"
"4","Running Dog",2023,"Misc",983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Dominic","{007b8520-90c3-4f2d-91d4-5ca2d5527022}",4595302-09-03 20:00:00,"skirk1",4595302-09-03 20:00:00,"skirk1"
"5","Running Dog",2023,"Misc",984,NA,"Right bank only ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Dominic","{05678249-15f5-4419-ae38-11d4944ffde0}",4595303-06-04 20:00:00,"skirk1",4595303-06-04 20:00:00,"skirk1"
"6","Running Dog",2023,"Misc",1030,NA,"Ditch filled ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{6d5a48d1-5c67-4fc0-b0aa-9af80887be44}",4598386-06-21 20:00:00,"ddixon0",4598386-06-21 20:00:00,"ddixon0"
"7","Running Dog",2023,"Misc",1031,NA,"Filled ditch ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{fe37e82e-7926-4afd-bcdd-adc485da83e4}",4598389-05-20 20:00:00,"ddixon0",4598389-05-20 20:00:00,"ddixon0"
"8","Running Dog",2023,"Misc",1034,NA,"Possible channel ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{493deded-4c91-4870-abdb-5a8e1c9d98a9}",4598396-08-17 20:00:00,"ddixon0",4598396-08-17 20:00:00,"ddixon0"
"9","Running Dog",2023,"Misc",1035,NA,"Braided channel ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{5d25b198-a1c1-45ee-a12c-38dcf97ac97a}",4598397-01-19 19:00:00,"ddixon0",4598397-01-19 19:00:00,"ddixon0"
"10","Running Dog",2023,"Needs Livestakes",994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Dominic","{1fe5b9a1-e266-4f94-a264-795f6b1670eb}",4598382-10-19 20:00:00,"ddixon0",4598382-10-19 20:00:00,"ddixon0"
"11","Running Dog",2023,"Needs Livestakes",995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Dominic","{233d73fd-e97d-4480-ba2f-8eaba47cc486}",4598406-03-01 19:00:00,"ddixon0",4598406-03-01 19:00:00,"ddixon0"
"12","Running Dog",2023,"Needs Livestakes",996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Dominic","{061beb5e-1ca9-4822-adc5-a1aa23875045}",4598406-06-16 20:00:00,"ddixon0",4598406-06-16 20:00:00,"ddixon0"
"13","Running Dog",2023,"Weed Occurrence",1288,NA,NA,NA,"Medium","Johnson Grass","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{8c1a8d09-6f02-47c4-99df-459ba9be3a62}",4638103-06-26 20:00:00,"ddixon0",4638103-06-26 20:00:00,"ddixon0"
"14","Running Dog",2023,"Weed Occurrence",1289,NA,NA,NA,"Medium","Johnson Grass","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{248032a1-3776-47dd-b204-494c7272e3cb}",4638103-10-17 20:00:00,"ddixon0",4638103-11-10 19:00:00,"ddixon0"
"15","Running Dog",2023,"Weed Occurrence",1290,NA,NA,NA,"Medium","Johnson Grass","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{7936b2bb-9085-40a8-928d-eaae44b1929c}",4638103-10-17 20:00:00,"ddixon0",4638103-10-17 20:00:00,"ddixon0"
"16","Running Dog",2023,"Weed Occurrence",1291,NA,NA,NA,"Medium","Johnson Grass","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{58c2e7d4-634f-4301-82e2-3c392f4aab32}",4638104-02-24 19:00:00,"ddixon0",4638104-02-24 19:00:00,"ddixon0"
"17","Running Dog",2023,"Weed Occurrence",1292,NA,NA,NA,"Medium","Johnson Grass","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{38407670-d0cf-48d2-8a11-092ca45d7a36}",4638104-04-13 20:00:00,"ddixon0",4638104-04-13 20:00:00,"ddixon0"
"18","Running Dog",2023,"Weed Occurrence",1293,NA,NA,NA,"Medium","Johnson Grass","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{1831cc80-4e3e-4afa-a920-909fd0987214}",4638104-05-20 20:00:00,"ddixon0",4638104-05-20 20:00:00,"ddixon0"
"19","Running Dog",2023,"Weed Occurrence",1294,NA,NA,NA,"Medium","Johnson Grass","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{1752a5a8-803b-434c-9e01-c588f396ed6b}",4638104-06-16 20:00:00,"ddixon0",4638104-06-16 20:00:00,"ddixon0"
"20","Running Dog",2023,"Weed Occurrence",1295,NA,NA,NA,"Medium","Johnson Grass","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{be2495d4-c5cb-422c-b117-612cfcfc814d}",4638104-07-23 20:00:00,"ddixon0",4638104-07-23 20:00:00,"ddixon0"
"21","Running Dog",2023,"Weed Occurrence",1296,NA,NA,NA,"Medium","Johnson Grass","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{71932c58-146a-48b5-b79a-a0f64592c0b9}",4638104-09-20 20:00:00,"ddixon0",4638104-09-20 20:00:00,"ddixon0"
"22","Running Dog",2022,"Soil Sample",546,NA,"Soil Sample #1",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{564a89a7-ef28-46db-a406-0f7f3515e654}",4582373-03-18 20:00:00,"lcostes",4619897-07-18 20:00:00,"lcostes"
"23","Running Dog",2022,"Soil Sample",547,NA,"Soil Sample #2",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{ffb38ca3-ad49-44c1-b3b6-3955566e67d6}",4582373-03-18 20:00:00,"lcostes",4619897-08-12 20:00:00,"lcostes"
