"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Sandy Branch I and II",2023,"Weed Occurrence",1369,NA,"Scattered privet",NA,"Low","Chinese Privet","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,1,2023-10-24 10:56:00,"Cutstump","In house",2,"Cut Stump","Glyphosate",NA,NA,NA,NA,NA,NA,2023-10-30 10:57:17,"alemon1",2023-10-30 10:57:17,"alemon1","Poly",NA,NA,"Neil","{20337bb8-3138-49bc-83bc-fadb07075b4f}",2023-10-30 10:52:16,"alemon1",2023-10-30 10:52:16,"alemon1"
"2","Sandy Branch I and II",2023,"Weed Occurrence",1368,NA,"Chinese Privet",NA,"Medium","Chinese Privet","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,1,2023-10-24 10:55:00,"Cutstump ","In house",2,"Cut Stump","Glyphosate",NA,NA,NA,NA,NA,NA,2023-10-30 10:55:40,"alemon1",2023-10-30 10:55:40,"alemon1","Poly",NA,NA,"Neil","{8e7a5a35-28e5-41de-afad-30d0de038a51}",2023-10-30 10:39:32,"alemon1",2023-10-30 10:39:32,"alemon1"
"3","Sandy Branch I and II",2023,"Weed Occurrence",1370,NA,"Scattered privet",NA,"Low",NA,"6-25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,1,2023-10-24 10:57:00,"Cutstump ","In house",2,"Cut Stump","Glyphosate",NA,NA,NA,NA,NA,NA,2023-10-30 10:57:50,"alemon1",2023-10-30 10:57:50,"alemon1","Poly",NA,NA,"Neil","{b819df37-7797-494f-92b0-05516edc2b5a}",2023-10-30 10:53:18,"alemon1",2023-10-30 10:53:18,"alemon1"
"4","Sandy Branch I and II",2023,"Weed Occurrence",1371,NA,"Privet thicket",NA,"High",NA,"26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,1,2023-10-24 10:56:00,"Cutstump ",NA,2,"Cut Stump","Glyphosate",NA,NA,NA,NA,NA,NA,2023-10-30 10:56:32,"alemon1",2023-10-30 10:56:32,"alemon1","Poly",NA,NA,"Neil","{f8f1028a-9080-4e1c-8a9c-da2d5136471c}",2023-10-30 10:54:31,"alemon1",2023-10-30 10:54:31,"alemon1"
"5","Sandy Branch I and II",2023,"Weed Occurrence",1166,NA,"Cattail pocket 1. Cut stump 5% glyphosate w/cidekick",NA,"Low","Cattail","76-100%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Neil","{cb28305c-6c6b-4e25-a809-2966eb92be54}",4620161-08-14 20:00:00,"ncurtis1",4639787-12-30 19:00:00,"lcostes"
"6","Sandy Branch I and II",2023,"Weed Occurrence",1167,NA,"Cattail pocket 2. Foliar with 5% glyphosate w/ cidekick ",NA,"Low","Cattail","76-100%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Neil","{f5a758cd-8a79-42f3-9d43-b709da6e959e}",4620162-05-29 20:00:00,"ncurtis1",4639787-12-31 19:00:00,"lcostes"
"7","Sandy Branch I and II",2023,"Weed Occurrence",1168,NA,"Cattail pocket 3. Foliar w/ 4.5% glyphosate w/ turbo",NA,"Low","Cattail","51-75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Neil","{a377936e-1a82-4547-b2fa-c2de5c13fa9d}",4620163-04-26 20:00:00,"ncurtis1",4639788-01-06 19:00:00,"lcostes"
"8","Sandy Branch I and II",2023,"Weed Occurrence",1169,NA,"Cattail pocket 4. Gly 5%, cidekick, catzilla. area around willow tx of gly, turbo, catzilla",NA,"Low","Cattail","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Neil","{50c2c168-a6b3-4642-bdf4-fc6502747aa0}",4620164-04-25 20:00:00,"ncurtis1",4639788-01-08 19:00:00,"lcostes"
"9","Sandy Branch I and II",2023,"Weed Occurrence",1170,NA,"Cattail pocket 5. gly 5%, turbo, catzilla",NA,"Low","Cattail","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Neil","{09e128b4-1a5c-49cf-b315-26f8466b65c3}",4620165-05-23 20:00:00,"ncurtis1",4639788-01-11 19:00:00,"lcostes"
"10","Sandy Branch I and II",2023,"Weed Occurrence",1171,NA,"Cattail pocket 6. Gly 5%, cidekick, catzilla",NA,"Low","Cattail","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Neil","{dcd63d0b-b74a-4c2a-81c5-8e436a006f1e}",4620166-06-12 20:00:00,"ncurtis1",4639788-01-12 19:00:00,"lcostes"
