"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area_FtSq","Length_Ft","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Sandy Branch",2022,"Vegetation Issue",994,"Bare Areas","Scattered bare areas persisting.",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,17891.0411376953,882.78164875072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{0556a19f-2699-4594-ac12-16ba64f58ce8}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"2","Sandy Branch",2022,"Weed Occurrence",732,NA,"Scattered privet seedlings and rose",NA,"Medium","Chinese Privet","1-5%","Multiflora Rose","<1%",NA,NA,NA,NA,NA,NA,"No",NA,"No","No","Yes","Yes","Yes",NA,103287.058959961,2644.49437407945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{3dbf8d9a-c61d-45bd-9b82-655d5eaafe21}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"3","Sandy Branch",2022,"Weed Occurrence",733,NA,"Cattails ",NA,"Low","UNKNOWN","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,1885.55322265625,191.637729695363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{a15ad5b5-615d-408d-81fe-130f22282e35}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"4","Sandy Branch",2022,"Weed Occurrence",993,NA,"Fescue dominance. Competing with trees. Needs fescue reduction and overseeding in spring. ",NA,"Medium","Tall Fescue","51-75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,18249.2298583984,661.153766023133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{3357926a-7b9c-42fa-a318-47aaa3304da4}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"5","Sandy Branch",2022,"Weed Occurrence",420,NA,NA,NA,"Medium","Multiflora Rose","<1%",NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{08e8bede-4642-4fd6-bf51-9a452cb0289e}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"6","Sandy Branch",2022,"Weed Occurrence",421,NA,NA,NA,"Medium","Multiflora Rose","<1%",NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{5d960a95-7349-412a-9cfe-24f330d6a8ba}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"7","Sandy Branch",2021,"Failed Structure",222,"Piping","No filter fabric behind log vein/ angled log riffle.","Grade Control Structure","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{6220c0bf-6e10-4b92-8380-6636d8644cb3}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"8","Sandy Branch",2021,"In-Stream Vegetation",581,NA,"Cattails in stream. Treat with foliar spray ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","No",NA,NA,184.45866958806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1-5%",NA,"Neil","{5197826c-2f91-41b0-9858-48cb7161bb34}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"9","Sandy Branch",2021,"In-Stream Vegetation",582,NA,"Spraying needed",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,247.9848357532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26-50%",NA,"Neil","{45869f43-6cb5-423d-9609-c6b369aa3fa2}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"10","Sandy Branch",2021,"Vegetation Issue",359,"Low Stem Vigor/Height","Tall pasture grasses/ ring sprays needed",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51-75%","Yes","No","Yes","Yes","Yes",NA,63636.7202148438,1623.7360293893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{a5d36da3-c431-4332-8829-3d5d75b5c3be}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"11","Sandy Branch",2021,"Vegetation Issue",361,"Low Stem Vigor/Height",NA,NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51-75%","Yes","No","Yes","Yes","Yes",NA,114179.383300781,1704.66438696665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{8fa695a0-6fde-41ab-8608-8fbf5163394f}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"12","Sandy Branch",2021,"Vegetation Issue",366,"Low Stem Vigor/Height","Tall pasture grasses/ ring sprays needed",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51-75%","Yes","No","Yes","Yes","Yes",NA,145076.889892578,3477.88920822731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{f468f16a-8b87-447b-9453-a5a8959aab45}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"13","Sandy Branch",2021,"Vegetation Issue",368,"Bare Areas, Low Stem Vigor/Height & Density","Bare soils.",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51-75%","Yes","No","Yes","Yes","Yes",NA,23184.3668212891,809.540219026041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{c6115f7c-9216-4892-8010-3f4c3030d84b}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
