"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Sassarixa Swamp I and II",2023,"Vegetation Issue",1260,"Bare Areas, Low Stem Vigor/Height & Density",NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,2,2023-02-13 00:00:00,"Replant Bare Roots","Charlie Bruton",1,NA,NA,NA,NA,NA,"Yes",2023-02-13 00:00:00,"76-100%",2023-08-09 10:12:57,"aradecki1",2023-08-09 10:12:57,"aradecki1","Poly",NA,NA,"Andrew","{0ee21b55-bf0c-46c2-84ab-6155713bb597}",2023-08-09 10:11:37,"aradecki1",2023-09-05 11:38:01,"lcostes"
"2","Sassarixa Swamp I and II",2023,"Vegetation Issue",1260,"Bare Areas, Low Stem Vigor/Height & Density",NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,2,2023-04-13 00:00:00,"Ring Sprays and Tree Boosters","Native Roots",2,NA,NA,NA,NA,NA,"Yes",2023-05-03 00:00:00,NA,2023-08-09 10:52:56,"aradecki1",2023-08-09 10:52:56,"aradecki1","Poly",NA,NA,"Andrew","{0ee21b55-bf0c-46c2-84ab-6155713bb597}",2023-08-09 10:11:37,"aradecki1",2023-09-05 11:38:01,"lcostes"
"3","Sassarixa Swamp I and II",2023,"Vegetation Issue",1258,"Bare Areas, Low Stem Vigor/Height & Density",NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,2,2023-02-13 00:00:00,"Replant Bare Roots from Mit Plant Planting Plan","Charlie Bruton",1,NA,NA,NA,NA,NA,"Yes",2023-02-13 00:00:00,"76-100%",2023-08-09 10:02:36,"aradecki1",2023-08-09 10:02:36,"aradecki1","Poly",NA,NA,"Andrew","{26282fba-a74d-4f6e-8679-30f5df403378}",2023-08-09 10:01:03,"aradecki1",2023-09-05 11:38:15,"lcostes"
"4","Sassarixa Swamp I and II",2023,"Vegetation Issue",1258,"Bare Areas, Low Stem Vigor/Height & Density",NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,2,2023-04-13 00:00:00,"Ring Sprays snd Tree Boosters","Native Roots",2,NA,NA,NA,NA,NA,"Yes",2023-05-03 00:00:00,"76-100%",2023-08-09 11:36:44,"aradecki1",2023-08-09 11:36:44,"aradecki1","Poly",NA,NA,"Andrew","{26282fba-a74d-4f6e-8679-30f5df403378}",2023-08-09 10:01:03,"aradecki1",2023-09-05 11:38:15,"lcostes"
"5","Sassarixa Swamp I and II",2023,"Vegetation Issue",1257,"Low Stem Vigor/Height",NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,0,2023-02-13 00:00:00,"Replant Bare Roots from Mit Plan Planting List","Charlie Bruton",1,NA,NA,NA,NA,NA,"Yes",2023-02-13 00:00:00,"na",2023-08-09 09:46:24,"aradecki1",2023-08-09 09:46:24,"aradecki1","Poly",NA,NA,"Andrew","{3a1ad671-c95a-4c8e-aa3e-3e26465f911a}",2023-08-09 09:44:31,"aradecki1",2023-09-05 11:38:14,"lcostes"
"6","Sassarixa Swamp I and II",2023,"Vegetation Issue",1257,"Low Stem Vigor/Height",NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,2,2023-04-13 00:00:00,"Ring Sprays and Tree Boosters","Native Roots",2,NA,NA,NA,NA,NA,"Yes",2023-05-03 00:00:00,"76-100%",2023-08-09 11:28:15,"aradecki1",2023-08-09 11:28:15,"aradecki1","Poly",NA,NA,"Andrew","{3a1ad671-c95a-4c8e-aa3e-3e26465f911a}",2023-08-09 09:44:31,"aradecki1",2023-09-05 11:38:14,"lcostes"
"7","Sassarixa Swamp I and II",2023,"Vegetation Issue",482,"Bare Areas","Bare area",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51-75%","Yes","No","Yes","Yes","Yes",NA,NA,2,2021-12-09 10:20:14,"Cover crop","In house",NA,NA,NA,NA,NA,NA,NA,2022-01-11 10:20:02,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes","Poly",NA,NA,"Andrew","{3fee03da-b27c-4544-82f9-09c644622ebc}",2023-01-05 17:32:36,"lcostes",2023-09-05 11:38:06,"lcostes"
"8","Sassarixa Swamp I and II",2023,"Vegetation Issue",1259,"Bare Areas, Low Stem Vigor/Height & Density",NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,2,2023-02-13 00:00:00,"Replant Bare Roots for Mit Plan Planting Plan","Charlie Bruton",1,NA,NA,NA,NA,NA,"Yes",2023-02-13 00:00:00,"76-100%",2023-08-09 10:49:21,"aradecki1",2023-08-09 10:49:21,"aradecki1","Poly",NA,NA,"Andrew","{6b046aeb-0113-48fc-8691-8476813dab45}",2023-08-09 10:05:46,"aradecki1",2023-09-05 11:38:17,"lcostes"
"9","Sassarixa Swamp I and II",2023,"Vegetation Issue",1259,"Bare Areas, Low Stem Vigor/Height & Density",NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,2,2023-04-13 00:00:00,"Ring Sprays and Tree Boosters","Native Roots",2,NA,NA,NA,NA,NA,"Yes",2023-05-03 00:00:00,"76-100%",2023-08-09 10:54:38,"aradecki1",2023-08-09 10:54:38,"aradecki1","Poly",NA,NA,"Andrew","{6b046aeb-0113-48fc-8691-8476813dab45}",2023-08-09 10:05:46,"aradecki1",2023-09-05 11:38:17,"lcostes"
"10","Sassarixa Swamp I and II",2023,"Vegetation Issue",1261,"Bare Areas, Low Stem Vigor/Height & Density",NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,2,2023-02-13 00:00:00,"Replant Bare Roots for Mit Plan Planting Plan","Charlie Brunton",1,NA,NA,NA,NA,NA,"Yes",2023-02-13 00:00:00,"76-100%",2023-08-09 10:41:38,"aradecki1",2023-08-09 10:41:38,"aradecki1","Poly",NA,NA,"Andrew","{bb17b0ff-adf2-4a8f-8136-6b6fa3bd573a}",2023-08-09 10:26:32,"aradecki1",2023-09-05 11:38:00,"lcostes"
"11","Sassarixa Swamp I and II",2023,"Vegetation Issue",1261,"Bare Areas, Low Stem Vigor/Height & Density",NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,2,2023-04-13 00:00:00,"Ring Sprays and Tree Boosters","Native Roots",2,NA,NA,NA,NA,NA,"Yes",2023-05-03 00:00:00,NA,2023-08-09 10:45:53,"aradecki1",2023-08-09 10:45:53,"aradecki1","Poly",NA,NA,"Andrew","{bb17b0ff-adf2-4a8f-8136-6b6fa3bd573a}",2023-08-09 10:26:32,"aradecki1",2023-09-05 11:38:00,"lcostes"
"12","Sassarixa Swamp I and II",2023,"Vegetation Issue",1390,"Bare Areas & Low Stem Density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrew","{6e5e54f6-80de-4fac-845c-00563187711b}",4656113-03-17 20:00:00,"aradecki1",4656113-03-17 20:00:00,"aradecki1"
