"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area_FtSq","Length_Ft","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Sassarixa Swamp",2023,"Weed Occurrence",1023,NA,NA,"On-site Source","Low","Chinese Privet","6-25%","Trifoliate Orange","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,234000.089233398,3705.67891927179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andrew","{45d36a3c-d6e2-42a9-951e-135704a15bbc}",4583503-01-22 19:00:00,"aradecki1",4583503-01-22 19:00:00,"aradecki1"
"2","Sassarixa Swamp",2023,"Weed Occurrence",1024,NA,NA,"On-site Source","High","Chinese Privet","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No","No","Yes","Yes","Yes",NA,216320.444213867,2249.3135847896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andrew","{d7b64cea-8d8b-42d6-a877-bc3dce1be83d}",4583510-12-02 19:00:00,"aradecki1",4583531-08-26 20:00:00,"aradecki1"
"3","Sassarixa Swamp",2022,"Beaver Dam",434,NA,NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,3,2022-06-16 00:00:00,"Beaver removal",NA,NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:53,"lcostes",2023-01-05 17:32:53,"lcostes",NA,NA,"Andrew","{b116fe9b-38fd-45a4-9951-ff7f97178ffa}",2023-01-05 17:32:00,"lcostes",2023-01-05 17:32:00,"lcostes"
"4","Sassarixa Swamp",2022,"Soil Sample",786,NA,"SAS6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andrew","{3ddbbc72-57d4-4f0f-be25-2434f72d4ea4}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"5","Sassarixa Swamp",2022,"Soil Sample",787,NA,"SAS1A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andrew","{b9d932b0-3a41-4e59-9715-a2f0517b63af}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"6","Sassarixa Swamp",2022,"Soil Sample",788,NA,"SAS1B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andrew","{00c79af0-7e4a-4171-941e-1de0d5043569}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"7","Sassarixa Swamp",2022,"Soil Sample",789,NA,"SAS3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andrew","{125e10ed-79e1-4e65-b7f7-c9363f93b9b3}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"8","Sassarixa Swamp",2022,"Soil Sample",790,NA,"SAS4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andrew","{cbd3dc14-e03a-4d4f-99c5-28c692076c24}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"9","Sassarixa Swamp",2022,"Weed Occurrence",917,NA,"Dog fennel",NA,"Medium","OTHER","51-75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","No","Yes",NA,172566.430786133,3091.65036935912,2,2022-05-26 00:00:00,"Weed eat, ring sprays","In house",NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Andrew","{58c82ba6-1f7b-4e2e-9cbb-6aa4b4fc497b}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"10","Sassarixa Swamp",2022,"Weed Occurrence",375,NA,NA,NA,"Low","Multiflora Rose","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andrew","{6b70413a-d497-4931-839b-dfef6a1e4574}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
