"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Shake Rag",2023,"5",1282,"Damaged Fence","Tree down on fence; Need 3 lengths of 7+ ft barbed wire",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,5,2023-06-08 00:00:00,"cut tree off of fence. Rigged temporary obstruction to keep cows out.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-20 15:43:38,"jlovenshimer",2023-10-20 15:43:38,"jlovenshimer","Point",NA,NA,"Joe","{83ee40e3-eddc-43db-9bf7-ccd5ab91d4a3}",2023-06-08 10:30:38,"wlasheville2",2023-10-20 15:42:13,"jlovenshimer"
"2","Shake Rag",2023,"5",1282,"Damaged Fence","Tree down on fence; Need 3 lengths of 7+ ft barbed wire",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,5,2023-10-19 00:00:00,"Fixed fence with Ed. Fixed h-brace and wire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-20 16:11:24,"jlovenshimer",2023-10-20 16:11:24,"jlovenshimer","Point",NA,NA,"Joe","{83ee40e3-eddc-43db-9bf7-ccd5ab91d4a3}",2023-06-08 10:30:38,"wlasheville2",2023-10-20 15:42:13,"jlovenshimer"
"3","Shake Rag",2023,"5",1283,"Damaged Fence","Tree down on wire, posts still good; need two sections of 26+ Ft barbed wire",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,5,2023-06-08 00:00:00,"cut tree off fence with Mimi. Cows couldn't get back in due to tree being in the way.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-20 16:12:08,"jlovenshimer",2023-10-20 16:12:08,"jlovenshimer","Point",NA,NA,"Joe","{ba05ad29-2897-455e-ab5d-605f7b4415ac}",2023-06-08 10:34:28,"wlasheville2",2023-10-20 16:18:44,"jlovenshimer"
"4","Shake Rag",2023,"5",1283,"Damaged Fence","Tree down on wire, posts still good; need two sections of 26+ Ft barbed wire",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,5,2023-10-19 00:00:00,"Fixed fence wire with Ed.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-20 16:12:27,"jlovenshimer",2023-10-20 16:12:27,"jlovenshimer","Point",NA,NA,"Joe","{ba05ad29-2897-455e-ab5d-605f7b4415ac}",2023-06-08 10:34:28,"wlasheville2",2023-10-20 16:18:44,"jlovenshimer"
"5","Shake Rag",2023,"5",1284,"Damaged Fence","Tree down on fence; Best to extend fence and 2 posts over rootball instead of trying to remove tree",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes",NA,NA,5,2023-11-22 00:00:00,"added new posts and barbed wire so fence goes over root ball approximately along old fence line. Andrea and Andrew Radecki",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-29 16:29:37,"jlovenshimer",2023-11-29 16:29:37,"jlovenshimer","Point",NA,NA,"Joe","{f2b8c0ff-a251-498e-b785-3189d59be662}",2023-06-08 11:35:41,"wlasheville2",2023-11-22 16:29:53,"athompson07"
"6","Shake Rag",2023,"5",1284,"Damaged Fence","Tree down on fence; Best to extend fence and 2 posts over rootball instead of trying to remove tree",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes",NA,NA,5,2023-11-22 16:30:03,"installed 2 t-posts and 3 strands of wire over and under fallen log.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-22 16:30:44,"athompson07",2023-11-22 16:30:44,"athompson07","Point",NA,NA,"Joe","{f2b8c0ff-a251-498e-b785-3189d59be662}",2023-06-08 11:35:41,"wlasheville2",2023-11-22 16:29:53,"athompson07"
"7","Shake Rag",2023,"5",1281,NA,"Check boundary sign placement with sub meter GPS; looks good within 0.03 Ft of the boundary ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{f8657d74-e84a-40de-8ca3-5fbfd9e14c45}",4618717-10-22 20:00:00,"wlasheville2",4620162-03-02 19:00:00,"wlasheville2"
"8","Shake Rag",2023,"5",1648,"Other","Gate was found open which allowed 2 cows to roam the easement. Suspected that they were able to slip the chain open. Make sure chain is latched through carabiner.  ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{a7f7d8fb-8835-4faa-a0b7-b77d75274ca0}",4646163-11-05 20:00:00,"wlasheville2",4646163-11-05 20:00:00,"wlasheville2"
"9","Shake Rag",2023,"Boundary Issue",1047,"Mowing","slight mowing into CE",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,1,2023-04-12 00:00:00,"spoke to landowner- scared him with horse tape. Planted one 3 gallon white oak here",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-04-18 16:40:08,"jlovenshimer",2023-04-18 16:40:08,"jlovenshimer","Line",NA,NA,"Joe","{889ba5a3-0c7f-447e-8c6b-5d741b90355a}",2023-04-18 16:38:16,"jlovenshimer",2023-04-18 16:38:16,"jlovenshimer"
"10","Shake Rag",2023,"Channel Stability/Erosion",965,"Aggradation_Deposition","Aggradation and in-stream veg, pipe fed channel so flow is restricted and does not get storm flow power to transport sediment, keep an eye on to make sure no braiding is occurring ","Stream Bed","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",2022,NA,2,2023-04-19 00:00:00,"spray in stream vegetation with aquatic safe glyphosate","Ecoforesters",1,NA,NA,NA,NA,NA,NA,2023-05-04 00:00:00,"76-100%",2023-05-05 16:35:16,"jlovenshimer",2023-05-05 16:35:16,"jlovenshimer","Line",NA,NA,"Joe","{fdaa012b-056f-4527-9bf7-6ead123112d7}",2023-02-20 13:02:46,"wlasheville2",2023-02-20 13:12:30,"wlasheville2"
