"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","South Ellerbe",2023,"Soil Sample",938,NA,"Two soil sample grabs before hitting bedrock.  SECM1 = 6-14 inches and SECD1 14-28 inches",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{2ba7fb38-3e2d-4b21-b5d5-9d34614d8351}",4584202-03-03 19:00:00,"aradecki1",4598607-03-28 20:00:00,"aradecki1"
"2","South Ellerbe",2023,"Soil Sample",939,NA,"Two soil sample grabs before hitting bedrock.  SECM2 = 6-14 inches and SECD2 14-28 inches",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{f362f1c4-fca4-4858-88b0-c02d123bbfea}",4584204-03-31 20:00:00,"aradecki1",4598607-09-19 20:00:00,"aradecki1"
"3","South Ellerbe",2023,"Soil Sample",940,NA,"Three soil samples SECS3 = 2-14 inches  SECM3 = 14-28 inches and SECD3 28-44 inches",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{b74aa6c6-db4b-44a3-9d56-4c506ed9eb84}",4584211-08-25 20:00:00,"aradecki1",4598608-06-15 20:00:00,"aradecki1"
"4","South Ellerbe",2023,"Soil Sample",942,NA,"Three soil samples SECS4 = 2-14 inches  SECM4 = 14-28 inches and SECD4 28-44 inches",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{72352492-98d9-4990-b31f-d9cb9892d0c9}",4584221-01-04 19:00:00,"aradecki1",4598608-09-22 20:00:00,"aradecki1"
"5","South Ellerbe",2023,"Soil Sample",943,NA,"Three soil samples SECS5 = 2-14 inches  SECM5 = 14-28 inches and SECD5 28-44 inches",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{4904e60b-69c9-4e18-b3c0-6148dc3ed489}",4584224-05-03 20:00:00,"aradecki1",4598608-10-29 20:00:00,"aradecki1"
"6","South Ellerbe",2023,"Soil Sample",944,NA,"Three soil samples SECS6 = 2-14 inches  SECM6 = 14-28 inches and SECD6 28-44 inches",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{3e1d982e-d2f7-4fca-a758-3a3604570b68}",4584227-09-24 20:00:00,"aradecki1",4598608-12-05 19:00:00,"aradecki1"
"7","South Ellerbe",2023,"Soil Sample",945,NA,"Three soil samples SECS7 = 2-14 inches  SECM7 = 14-28 inches and SECD7 28-44 inches",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{e5b28bec-c4e0-46a7-8851-19433afa71f2}",4584230-08-03 20:00:00,"aradecki1",4598609-01-21 19:00:00,"aradecki1"
"8","South Ellerbe",2023,"Soil Sample",946,NA,"Three soil samples SECS8 = 2-14 inches  SECM8 = 14-28 inches and SECD8 28-44 inches",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{7bfeddf4-c386-4011-87a3-68ef11e80376}",4584231-07-30 20:00:00,"aradecki1",4598609-05-19 20:00:00,"aradecki1"
"9","South Ellerbe",2023,"Vegetation Issue",1092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Joe","{b499c411-d6b1-4254-a7e7-23b692c00a79}",4605482-06-23 20:00:00,"ncurtis1",4605482-06-23 20:00:00,"ncurtis1"
"10","South Ellerbe",2023,"Vegetation Issue",1093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Joe","{577baa4b-7109-459c-aeb1-53aceacafedb}",4605483-06-18 20:00:00,"ncurtis1",4605483-06-18 20:00:00,"ncurtis1"
