"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","South Fork",2023,"Channel Stability/Erosion",1057,"Erosion_Scour",NA,"Stream Bank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrew","{fa6e90e9-9e9b-45e4-973b-f7d3a6784dab}",4613996-05-08 20:00:00,"clanza",4613996-05-08 20:00:00,"clanza"
"2","South Fork",2023,"Channel Stability/Erosion",1058,NA,"Needs livestakes","Stream Bank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrew","{f6c3ac4e-abdf-4277-b081-64c9530ba6ac}",4613996-11-03 19:00:00,"clanza",4613996-11-03 19:00:00,"clanza"
"3","South Fork",2023,"Channel Stability/Erosion",1125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrew","{454190c9-dc82-4ba8-8044-a3db98a75e8e}",4641662-05-01 20:00:00,"clanza",4641662-05-01 20:00:00,"clanza"
"4","South Fork",2023,"Failed Structure",1164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{c89c1b85-e86c-46be-af42-89c2cdd59c1f}",4610453-01-21 19:00:00,"clanza",4610453-01-21 19:00:00,"clanza"
"5","South Fork",2023,"Failed Structure",1168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{6843b7bb-dbb1-4d6f-a412-a727a3ab04f0}",4610464-07-25 20:00:00,"clanza",4610464-07-25 20:00:00,"clanza"
"6","South Fork",2023,"Failed Structure",1183,NA,"Rock sill piping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{2ff26ee3-8b66-4ba5-8104-c3ec91d93f95}",4610465-03-15 20:00:00,"clanza",4610465-03-15 20:00:00,"clanza"
"7","South Fork",2023,"Failed Structure",1219,NA,NA,"Grade Control Structure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{6ff4313c-2e3b-4f1e-b6b7-da5b85e9d66b}",4613996-06-26 20:00:00,"clanza",4613996-06-26 20:00:00,"clanza"
"8","South Fork",2023,"Failed Structure",1220,"Erosion/Scoured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{07282f0b-69d3-462c-9044-f0773c91d32b}",4613997-03-22 20:00:00,"clanza",4613997-03-22 20:00:00,"clanza"
"9","South Fork",2023,"In-Stream Vegetation",1127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrew","{78e69d60-f507-4a50-b4b8-820edea482a5}",4641691-12-07 19:00:00,"clanza",4641691-12-07 19:00:00,"clanza"
"10","South Fork",2023,"Needs Livestakes",1124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrew","{b2c8fca5-15bb-4628-b29e-1685bb401b7e}",4641654-05-26 20:00:00,"clanza",4641654-05-26 20:00:00,"clanza"
