"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Twin Burros",2023,"Soil Sample",1285,NA,"Sample ID TWB01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{b2a53f3d-714e-4c27-a8e9-00bb2400749c}",4619903-06-28 20:00:00,"hpeterman",4619903-06-28 20:00:00,"hpeterman"
"2","Twin Burros",2023,"Soil Sample",1286,NA,"Sample ID TWB02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{3cc2faca-b7ac-4778-b1c4-e321bcb2eb17}",4619903-11-25 19:00:00,"hpeterman",4619903-11-25 19:00:00,"hpeterman"
"3","Twin Burros",2023,"Soil Sample",1287,NA,"Sample ID TWB03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{7c9b4416-845b-43bb-87f1-4ca785dc2d02}",4619904-08-16 20:00:00,"hpeterman",4619904-08-16 20:00:00,"hpeterman"
"4","Twin Burros",2023,"Soil Sample",1288,NA,"TWB04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{6c203f9d-7bf7-4f93-881c-d8c0d102c31f}",4619905-11-14 19:00:00,"hpeterman",4619905-11-14 19:00:00,"hpeterman"
"5","Twin Burros",2023,"Soil Sample",1289,NA,"Sample ID TWB05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{82692068-10f4-4464-8eeb-e8cb92400657}",4619907-07-16 20:00:00,"hpeterman",4619907-07-16 20:00:00,"hpeterman"
"6","Twin Burros",2023,"Soil Sample",1290,NA,"Sample ID TWB06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{4f200167-e93a-451b-8d8e-1c319b6db45e}",4619908-10-06 20:00:00,"hpeterman",4619908-10-06 20:00:00,"hpeterman"
"7","Twin Burros",2023,"Soil Sample",1291,NA,"Sample ID TWB07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{212865be-0f0c-455e-a732-8fe1dc8a3345}",4619909-09-12 20:00:00,"hpeterman",4619909-09-12 20:00:00,"hpeterman"
"8","Twin Burros",2023,"Soil Sample",1292,NA,"Sample ID TWB08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{6a094102-e3b4-4f17-93c8-d0a70601ef53}",4619911-11-16 19:00:00,"hpeterman",4619911-11-16 19:00:00,"hpeterman"
"9","Twin Burros",2023,"Soil Sample",1293,NA,"Sample ID TWB09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{8ceb20e2-1bcd-4ecf-bf1d-2d9552f1790a}",4619917-04-01 20:00:00,"hpeterman",4619917-04-01 20:00:00,"hpeterman"
"10","Twin Burros",2023,"Soil Sample",1294,NA,"Sample ID TWB10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{8e9cbef5-1841-4c89-95cb-39c047b1937e}",4619920-06-08 20:00:00,"hpeterman",4619920-06-08 20:00:00,"hpeterman"
