"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Vile Creek",2023,"Failed Structure",1564,NA,"Same as before, no bank scouring ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{68cdb961-3a58-43f0-8dcb-a4ecea23088d}",4640003-12-06 19:00:00,"wlasheville2",4661804-11-17 19:00:00,"ddixon0"
"2","Vile Creek",2023,"Failed Structure",1565,"Piping","Piping but banks stable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{17713f82-746b-4a76-a297-01d48322a72d}",4640012-04-06 20:00:00,"wlasheville2",4661783-03-16 20:00:00,"ddixon0"
"3","Vile Creek",2023,"Misc",1142,NA,"Fencing Encroachment - Removed 7/24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Sam","{2e63e81a-ae8d-471b-be4a-cb2d7b127e41}",4645513-07-27 20:00:00,"skirk1",4647104-11-28 19:00:00,"lcostes"
"4","Vile Creek",2023,"Misc",1143,NA,"Fence Encroachment - Removed 7/24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Sam","{9b9000c1-ec96-4675-895d-55014e7fb383}",4645515-11-26 19:00:00,"skirk1",4647104-12-04 19:00:00,"lcostes"
"5","Vile Creek",2023,"Misc",1456,NA,"Tree down on fence ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{24e021a2-e568-4494-8d5b-8ff5cc9d1140}",4628662-11-23 19:00:00,"skirk1",4641668-12-12 19:00:00,"lcostes"
"6","Vile Creek",2023,"Misc",1644,NA,"Fencing materials encroachment - removed 7/24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{98cabed2-5c2e-4086-a184-e9a5a650ec59}",4645513-09-25 20:00:00,"skirk1",4647105-04-03 20:00:00,"lcostes"
"7","Vile Creek",2023,"Weed Occurrence",1246,NA,NA,NA,NA,"Japanese Barberry","6-25%","Oriental Bittersweet","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,0,2023-08-24,"5% glyphosate foliar spray on remaining barberry","In-house",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-25 09:15:08,"awissner",2023-08-25 09:15:08,"awissner","Poly",NA,NA,"Sam","{2c00ddbf-7da2-41fb-9eb2-46dda2fba63b}",2023-07-20 11:41:26,"skirk1",2023-09-13 10:30:07,"lcostes"
"8","Vile Creek",2022,"Boundary Issue",747,NA,NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes",NA,NA,0,2023-02-10,"Added extra signage and horse tape",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-15 15:05:07,"skirk1",2023-03-15 15:05:07,"skirk1","Line",NA,NA,"Sam","{723ad0d2-bcdb-400a-9aec-5a6965425b8f}",2023-01-05 17:32:21,"lcostes",2023-09-13 10:28:22,"lcostes"
"9","Vile Creek",2022,"Boundary Issue",746,NA,NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Sam","{539acda0-c9a9-443a-a897-b27437811437}",4582373-04-08 20:00:00,"lcostes",4641669-02-04 19:00:00,"lcostes"
"10","Vile Creek",2022,"Boundary Issue",924,"Mowing",NA,"Sign","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Sam","{2d9d6375-bd22-456b-8e07-5b7cdcc9aca0}",4582373-04-08 20:00:00,"lcostes",4641669-02-20 19:00:00,"lcostes"
