"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","White Buffalo",2023,"Failed Structure",1139,"Piping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,2,2023-04-12 13:25:00,"Structure repair ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-17 13:25:41,"ddixon0",2023-05-17 13:25:41,"ddixon0","Point",NA,NA,"Dominic","{1f8bc5e9-0d4f-4073-8c50-acc8c76d1048}",2023-04-12 13:54:31,"ddixon0",2023-04-12 13:54:31,"ddixon0"
"2","White Buffalo",2023,"Failed Structure",1211,"Piping",NA,NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{28f406e0-5a4a-4dff-92c9-3988808093b0}",4613320-03-31 20:00:00,"ddixon0",4613320-06-26 20:00:00,"ddixon0"
"3","White Buffalo",2023,"Failed Structure",1789,"Piping","partially piping rock sill",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{d97d83ec-1086-4c39-abdf-4c1dd0ef806d}",4656358-08-02 20:00:00,"ddixon0",4656358-08-02 20:00:00,"ddixon0"
"4","White Buffalo",2023,"Failed Structure",1823,"Piping","Piping around right side of log ail",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{c5dbcfa3-0190-4f75-97ea-7ff9775954ae}",4660137-01-10 19:00:00,"awissner",4662035-08-21 20:00:00,"awissner"
"5","White Buffalo",2023,"Failed Structure",1824,"Piping","Piping left of rock ail",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{2eabb368-6a91-4224-a032-6498990dc6d2}",4660138-09-11 20:00:00,"awissner",4662036-08-26 20:00:00,"awissner"
"6","White Buffalo",2023,"Failed Structure",1825,"Piping","Piping under structure ",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{f8dd31ea-ef99-452c-8044-df05a4785ed6}",4660139-01-30 19:00:00,"awissner",4660139-01-30 19:00:00,"awissner"
"7","White Buffalo",2023,"Failed Structure",1826,"Piping","Flow over sil. Piping occurring above structure and exiting 2 ft left of sil",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{5f5d6bed-7015-482e-903f-943ea5d54468}",4660140-12-29 19:00:00,"awissner",4660140-12-29 19:00:00,"awissner"
"8","White Buffalo",2023,"Failed Structure",1827,"Piping","Flow over sil. Piping around left of still causing erosion",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{d5aa8f1a-baf5-4be8-8042-01b0f7cb1801}",4660141-04-28 20:00:00,"awissner",4660141-08-05 20:00:00,"awissner"
"9","White Buffalo",2023,"Failed Structure",1828,"Piping","Piping under structure. Some erosion",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{2657a21b-03da-4fb7-a561-3d95b4af3e04}",4660141-11-03 20:00:00,"awissner",4660141-11-03 20:00:00,"awissner"
"10","White Buffalo",2023,"Failed Structure",1829,NA,"Piping around right of sil",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{8d3235f5-e881-459c-ac14-342a4c4a2b10}",4660150-10-04 20:00:00,"awissner",4662036-01-18 19:00:00,"awissner"
