"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Wolfe",2023,"Boundary Issue",997,"Mowing","Slight scallopping","Fence","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrew","{49285f39-f568-4d32-a5bb-b4da168241a0}",4599838-03-21 20:00:00,"aradecki1",4599838-03-21 20:00:00,"aradecki1"
"2","Wolfe",2023,"Boundary Issue",998,"Mowing","Slight scallopping","Fence","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrew","{524085a5-1de7-460d-afbe-d475dadbffc0}",4599838-05-27 20:00:00,"aradecki1",4599838-05-27 20:00:00,"aradecki1"
"3","Wolfe",2023,"Boundary Issue",999,"Mowing","Slight scalloping",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrew","{5937b236-f06e-4b98-a5bb-2707aafc0f20}",4599838-07-14 20:00:00,"aradecki1",4599838-07-14 20:00:00,"aradecki1"
"4","Wolfe",2023,"Boundary Issue",1000,"Mowing","Slight scalloping",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrew","{d7bda65a-0fc2-47e2-8432-7231833ee644}",4599838-10-02 20:00:00,"aradecki1",4599838-10-02 20:00:00,"aradecki1"
"5","Wolfe",2022,"Boundary Issue",846,"Mowing",NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,0,2022-05-18 00:00:00,"Added polytape",NA,NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,"na",2023-01-05 17:32:56,"lcostes",2023-01-05 17:32:56,"lcostes","Line",NA,NA,"Andrew","{2acbdc82-db54-4c28-9512-7b1c2fcd49a3}",2023-01-05 17:32:21,"lcostes",2023-01-05 17:32:21,"lcostes"
"6","Wolfe",2022,"Boundary Issue",884,"Mowing",NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,1,2022-05-18 00:00:00,"Polytape",NA,NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,"na",2023-01-05 17:32:56,"lcostes",2023-01-05 17:32:56,"lcostes","Line",NA,NA,"Andrew","{9257d320-c4f0-48f4-a5ae-72db1ee4fa88}",2023-01-05 17:32:21,"lcostes",2023-01-05 17:32:21,"lcostes"
"7","Wolfe",2022,"Boundary Issue",885,"Mowing",NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,1,2022-05-18 00:00:00,"Polytape",NA,NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,"na",2023-01-05 17:32:56,"lcostes",2023-01-05 17:32:56,"lcostes","Line",NA,NA,"Andrew","{f3ec04da-76ee-40e8-b4ab-a017acac97bf}",2023-01-05 17:32:21,"lcostes",2023-01-05 17:32:21,"lcostes"
"8","Wolfe",2022,"Vegetation Issue",619,"Low Stem Density",NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26-50%","No","No","Yes","Yes","Yes",NA,NA,2,2022-07-07 00:00:00,"Tree boosters","In house",NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes","Poly",NA,NA,"Andrew","{019c13bb-49ad-4a46-b544-c61fe4f33be4}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"9","Wolfe",2022,"Vegetation Issue",619,"Low Stem Density",NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26-50%","No","No","Yes","Yes","Yes",NA,NA,2,2022-04-05 00:00:00,"Ring sprays","Native Roots",NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes","Poly",NA,NA,"Andrew","{019c13bb-49ad-4a46-b544-c61fe4f33be4}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"10","Wolfe",2022,"Vegetation Issue",609,"Low Stem Density",NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26-50%","No","No","Yes","Yes","Yes",NA,NA,2,2022-07-07 00:00:00,"Tree boosters",NA,NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes","Poly",NA,NA,"Andrew","{19634d99-0b10-4b33-b1a9-0f613bc422ff}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
