"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Wyant",2023,"5",949,"Damaged Fence","Dead tree fell on woven wire",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{d8d49430-f6ae-4e31-a80c-aa99d38bf573}",4585169-07-26 20:00:00,"eisrael1",4641669-10-20 20:00:00,"lcostes"
"2","Wyant",2023,"5",1460,"Gate Issue","Gate needs chain and carabiner",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{e2239ee3-d83e-410f-bec1-ca6c6775faf6}",4629643-08-10 20:00:00,"eisrael1",4641669-10-11 20:00:00,"lcostes"
"3","Wyant",2023,"5",1461,"Damaged Fence",NA,NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{c43a3647-96a5-44e5-b53a-4566afea71c7}",4629646-11-14 19:00:00,"eisrael1",4641669-10-10 20:00:00,"lcostes"
"4","Wyant",2023,"Beaver Dam",1681,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,3,2023-11-09 00:00:00,"Dam removed by trappers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-21 15:14:32,"awissner",2023-11-21 15:14:32,"awissner","Point",NA,NA,"Emily","{19f0bfd1-321d-423e-9409-86648c85abbe}",2023-10-17 15:50:49,"eisrael1",2023-11-28 09:25:32,"lcostes"
"5","Wyant",2023,"Beaver Dam",1680,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,3,2023-11-09 00:00:00,"Dam removed by trappers","USDA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-21 15:17:17,"awissner",2023-11-21 15:17:17,"awissner","Point",NA,NA,"Emily","{1ee23a30-b4e1-4087-a9d6-f7ded57d765d}",2023-10-17 15:37:44,"eisrael1",2023-11-28 09:25:20,"lcostes"
"6","Wyant",2023,"Beaver Dam",948,NA,NA,NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,3,2023-11-09 00:00:00,"Dam removed by trappers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-21 15:16:01,"awissner",2023-11-21 15:16:01,"awissner","Point",NA,NA,"Emily","{3406b521-bb92-4b6b-bd3c-fc586381db44}",2023-01-17 12:55:20,"eisrael1",2023-11-28 09:24:26,"lcostes"
"7","Wyant",2023,"Beaver Dam",1459,NA,NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,3,2023-11-09 00:00:00,"Dam removed by trappers","USDA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-21 15:19:07,"awissner",2023-11-21 15:19:07,"awissner","Point",NA,NA,"Emily","{40fb57e6-bf64-4dac-ab90-30c661324a8a}",2023-07-24 13:51:21,"eisrael1",2023-11-28 09:25:58,"lcostes"
"8","Wyant",2023,"Beaver Dam",1169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,3,2023-07-18 06:42:00,"Trapped 2 beaver","USDA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-25 18:43:35,"eisrael1",2023-07-25 18:43:35,"eisrael1","Point",NA,NA,"Emily","{419fe0ac-afb3-4017-a5de-4a3debbe83cd}",2023-05-04 10:32:59,"wlasheville2",2023-09-13 10:32:34,"lcostes"
"9","Wyant",2023,"Beaver Dam",1679,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,3,2023-11-09 00:00:00,"Dam removed by trappers","USDA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-21 15:18:12,"awissner",2023-11-21 15:18:12,"awissner","Point",NA,NA,"Emily","{70ce6793-56e8-4c17-b018-1ea1dd9e6fd9}",2023-10-17 15:33:02,"eisrael1",2023-11-28 09:25:07,"lcostes"
"10","Wyant",2023,"Beaver Dam",1678,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,3,2023-11-09 00:00:00,"Dam removed by trappers","USDA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-21 15:19:58,"awissner",2023-11-21 15:19:58,"awissner","Point",NA,NA,"Emily","{d4b6bc65-a0ad-4799-bedb-5797a52d3716}",2023-10-17 15:19:56,"eisrael1",2023-11-28 09:24:54,"lcostes"
